Empresa;C�digo;�ndices dos quais participa
GAFISA;GFSA3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ISEE,ITAG,SMLL
GEAEROSPACE;GEOO34;BDRX
GENERAL MOT;GMCO34;BDRX
GER PARANAP;GEPA4;ITAG
GERDAU;GGBR3;IGCX,ITAG
GERDAU;GGBR4;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBSD,IBXL,IBXX,IDIV,IDVR,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,MLCX
GERDAU MET;GOAU3;IGCX,ITAG
GERDAU MET;GOAU4;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBSD,IBXX,IDIV,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,SMLL
GOLDMANSACHS;GSGI34;BDRX
GPS;GGPS3;IBRA,IBXX,IGCT,IGCX,IGNM,ITAG,SMLL
GRAZZIOTIN;CGRA3;ITAG
GRAZZIOTIN;CGRA4;ITAG
GRENDENE;GRND3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
GRUPO MATEUS;GMAT3;AGFS,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,MLCX
GRUPO SBF;SBFG3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
GRUPO TOKY;TOKY3;IGCX,IGNM,ITAG
GRUPOCIBEST;C2OL34;BDRX
GUARARAPES;GUAR3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
HAPVIDA;HAPV3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
HBR REALTY;HBRE3;IGCX,IGNM,ITAG
HELBOR;HBOR3;IGCX,IGNM,ITAG
HIDROVIAS;HBSA3;AGFS,GPTW,IBRA,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
HOME DEPOT;HOME34;BDRX
HP COMPANY;HPQB34;BDRX
HSBC HOLDING;H1SB34;BDRX
HYPERA;HYPE3;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
IGUATEMI S.A;IGTI11;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IMOB,ISEE,ITAG,IVBX,SMLL
IMC S/A;MEAL3;IGCX,IGNM,ITAG
INEPAR;INEP3;ITAG
INEPAR;INEP4;ITAG
INTEL;ITLC34;BDRX
INTELBRAS;INTB3;GPTW,IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
INTER CO;INBR32;IBBC,IBBE,IBBR
IOCHP-MAXION;MYPK3;IBRA,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
IRANI;RANI3;AGFS,GPTW,IBRA,ICO2,IDIV,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,SMLL
IRBBRASIL RE;IRBR3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,IDVR,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL
ISA ENERGIA;ISAE3;IGCX
ISA ENERGIA;ISAE4;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL
ITAUSA;ITSA3;IGCX
ITAUSA;ITSA4;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,IDIV,IDVR,IGCT,IGCX,ISEE,ITAG,MLCX
ITAUUNIBANCO;ITUB3;IBRA,ICO2,IDIV,IDVR,IFNC,IGCT,IGCX,MLCX
ITAUUNIBANCO;ITUB4;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IDVR,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX
JALLESMACHAD;JALL3;AGFS,GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
JBS N.V.;JBSS32;IBBC,IBBE,IBBR
JD COM;JDCO34;BDRX
JHSF PART;JHSF3;GPTW,IBRA,ICO2,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
JOHNSON;JNJB34;BDRX
JPMORGAN;JPMC34;BDRX
JSL;JSLG3;AGFS,IBRA,IDIV,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
KEPLER WEBER;KEPL3;AGFS,GPTW,IBRA,IDIV,IDVR,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
KINGSOFT CHL;K2CG34;BDRX
KLABIN S/A;KLBN11;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,IDIV,IDVR,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,IVBX,MLCX
KRAFT HEINZ;KHCB34;BDRX
LAVVI;LAVV3;IBRA,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
LILLY;LILY34;BDRX
LLOYDS BANKI;L1YG34;BDRX
LOCALIZA;RENT3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,MLCX
LOG COM PROP;LOGG3;IBRA,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
LOG-IN;LOGN3;IGCX,IGNM,ITAG
LOJAS MARISA;AMAR3;IGCX,IGNM,ITAG
